,frame,intersect,distance,angle,ego_vel_x,ego_vel_y,ego_vel_z,ego_accel_x,ego_accel_y,ego_accel_z,ego_ang_vel_x,ego_ang_vel_y,ego_ang_vel_z,adv_vel_x,adv_vel_y,adv_vel_z,adv_accel_x,adv_accel_y,adv_accel_z,adv_ang_vel_x,adv_ang_vel_y,adv_ang_vel_z
0,987549,False,3.793586412367267,-157.25828816200166,0.0,0.0,-0.9800000786781311,0.0,0.0,-9.800002098083496,0.0,0.0,0.0,0.0,0.0,-0.9800000786781311,0.0,0.0,-9.800002098083496,0.0,0.0,0.0
1,987550,False,3.793586412367267,-157.25828816200166,0.0,0.0,-1.470000147819519,0.0,0.0,-9.80000114440918,0.0,0.0,0.0,0.0,0.0,-1.470000147819519,0.0,0.0,-9.80000114440918,0.0,0.0,0.0
2,987551,False,3.793585968538644,-157.25828816200166,0.0,0.0,-1.9600002765655518,0.0,0.0,-9.800003051757812,0.0,0.0,0.0,0.0,0.0,-1.9470025300979614,0.0,0.0,-9.540047645568848,0.0024379431270062923,-0.0015639199409633875,5.346767733421798e-12
3,987552,False,3.7938540785879296,-157.25969291775897,0.006699933670461178,0.018059639260172844,-1.3786932229995728,0.13399867713451385,0.3611927926540375,11.626140594482422,-4.978981018066406,-2.1818313598632812,0.003861745586618781,-5.296894300954591e-07,-1.9274966689408757e-06,-0.8562277555465698,-1.0593788829282857e-05,-3.8549933378817514e-05,21.815494537353516,0.000315327662974596,-0.0003883647150360048,-1.1352061619618325e-06
4,987553,False,3.794676613049781,-157.26370452132275,0.007931039668619633,0.010026988573372364,-0.6783283352851868,0.024622119963169098,-0.1606530100107193,14.00729751586914,-3.119243860244751,-2.5924699306488037,0.014401908032596111,-1.1635598440307149e-07,-2.9203528129073675e-07,-0.31718409061431885,8.266669283329975e-06,3.27092275256291e-05,10.78087329864502,2.2320915377349593e-05,-8.050640462897718e-05,-2.3271888949238928e-07
5,987554,False,3.795243315183166,-157.26634119484856,0.003484525950625539,0.00119025819003582,-0.22266210615634918,-0.08893027901649475,-0.17673461139202118,9.113325119018555,-0.13981179893016815,-1.1420557498931885,0.008263991214334965,-2.574059365656467e-08,-3.826333383472047e-08,-0.060412172228097916,1.8123078007192817e-06,5.075439275969984e-06,5.135438442230225,5.533163857762702e-05,-3.598627881729044e-05,-1.0855156062916649e-07
6,987555,False,3.7953280864260686,-157.2655966608761,-0.0014500506222248077,-0.003910153638571501,0.04433789104223251,-0.09869152307510376,-0.10200823843479156,5.339999675750732,1.7977923154830933,0.49315738677978516,-0.003160209162160754,2.669258236664973e-08,9.964918490368291e-08,0.049328774213790894,1.0486635346751427e-06,2.75825050266576e-06,2.1948189735412598,2.4070119252428412e-05,-5.173003955860622e-06,-3.2335177024833683e-07
7,987556,False,3.7950050721638617,-157.26269542236656,-0.004788131918758154,-0.006280951201915741,0.17640110850334167,-0.06676162779331207,-0.047415949404239655,2.6412642002105713,2.535080671310425,1.589111089706421,-0.007552491035312414,2.920809727413598e-08,4.50044268518468e-08,0.08581005036830902,5.0310298149724986e-08,-1.092895217880141e-06,0.7296255230903625,-8.782290024100803e-06,2.6097781301359646e-05,1.8712448479618615e-08
8,987557,False,3.7944741344113555,-157.2590671091349,-0.006123115308582783,-0.006647262256592512,0.21973374485969543,-0.026699667796492577,-0.007326221093535423,0.8666527271270752,2.4217922687530518,2.00604248046875,-0.005291263572871685,6.500081362048604e-09,2.9339906504333157e-08,0.08831437677145004,-4.541603004781791e-07,-3.132903998448455e-07,0.050086528062820435,2.8238628146937117e-05,-1.0362121429352555e-05,3.863605257947711e-08
9,987558,False,3.7938707485800176,-157.2565031528254,-0.00581625709310174,-0.005605890415608883,0.21070030331611633,0.006137164309620857,0.020827436819672585,-0.18066883087158203,1.863421082496643,1.8820652961730957,-0.001412880839779973,2.3859911379986443e-08,-2.3657324987880202e-08,0.0770581066608429,3.4719661812232516e-07,-1.059944565895421e-06,-0.22512540221214294,5.650125240208581e-05,2.7871601560036652e-05,-6.271468233620681e-09
10,987559,False,3.7933569206354485,-157.25478665793557,-0.0045013404451310635,-0.0038268135394901037,0.17565147578716278,0.02629833295941353,0.03558153659105301,-0.700976550579071,1.1749674081802368,1.4413477182388306,0.0008957403479143977,1.5591304247664084e-08,1.0466050071045174e-07,0.061930980533361435,-1.6537214264644717e-07,2.5663564429123653e-06,-0.302542507648468,-6.118959572631866e-05,1.2315776984905824e-06,-1.958374298283161e-07
11,987560,False,3.783500315578604,-157.2114216712185,-0.002808600664138794,-0.0019294711528345942,0.13207390904426575,0.03385479748249054,0.03794684633612633,-0.8715513348579407,0.5504993796348572,0.891776442527771,0.001273580128327012,0.5040109157562256,-0.14919421076774597,0.047368600964546204,10.080218315124512,-2.983886241912842,-0.2912476062774658,-0.5856474041938782,-0.4805123209953308,-5.869067668914795
